model,dataset,acc
lite,ArrowHead,0.821714285714286
lite,BeetleFly,0.87
lite,Car,0.923333333333333
lite,Earthquakes,0.710791366906475
lite,FaceAll,0.791360946745562
lite,FordB,0.844197530864198
lite,Ham,0.721904761904762
lite,InlineSkate,0.543272727272727
lite,InsectWingbeatSound,0.61040404040404
lite,Lightning7,0.827397260273973
lite,MoteStrain,0.875718849840256
lite,NonInvasiveFetalECGThorax2,0.953791348600509
lite,OliveOil,0.693333333333333
lite,ProximalPhalanxTW,0.781463414634146
lite,TwoPatterns,1
lite,Wine,0.640740740740741
lite,WordSynonyms,0.678683385579937
lite,Yoga,0.906733333333333
lite,EOGVerticalSignal,0.390055248618784
lite,FreezerSmallTrain,0.953122807017544
lite,GunPointOldVersusYoung,0.971428571428571
deffcn,ArrowHead,0.8559999942779541
deffcn,BeetleFly,0.9199999928474426
deffcn,Car,0.9266666650772095
deffcn,Earthquakes,0.7251798510551453
deffcn,EOGVerticalSignal,0.4376243209838867
deffcn,FaceAll,0.9353846073150635
deffcn,FordB,0.7931999922393799
deffcn,FreezerSmallTrain,0.8771929860115051
deffcn,GunPointOldVersusYoung,1.0
deffcn,Ham,0.8095238208770752
deffcn,InlineSkate,0.5199999928474426
deffcn,InsectWingbeatSound,0.613131320476532
deffcn,Lightning7,0.7369863033294678
deffcn,MoteStrain,0.9314696311950683
deffcn,NonInvasiveFetalECGThorax2,0.9742166739151001
deffcn,OliveOil,0.7666666507720947
deffcn,ProximalPhalanxTW,0.7717073082923889
deffcn,TwoPatterns,0.9023000121116638
deffcn,Wine,0.7962962985038757
deffcn,WordSynonyms,0.5742946624755859
deffcn,Yoga,0.8234000086784363
fcn,ArrowHead,0.8468571424484252
fcn,BeetleFly,0.8600000023841858
fcn,Car,0.9133333325386047
fcn,EOGVerticalSignal,0.4276243209838867
fcn,Earthquakes,0.7280575513839722
fcn,FaceAll,0.9295858025550843
fcn,FordB,0.7725925922393799
fcn,FreezerSmallTrain,0.815508770942688
fcn,GunPointOldVersusYoung,1.0
fcn,Ham,0.7180952548980712
fcn,InlineSkate,0.4199999928474426
fcn,InsectWingbeatSound,0.3926262676715851
fcn,Lightning7,0.832876718044281
fcn,MoteStrain,0.9276357769966126
fcn,NonInvasiveFetalECGThorax2,0.9558269739151001
fcn,OliveOil,0.7133333206176757
fcn,ProximalPhalanxTW,0.7639024257659912
fcn,TwoPatterns,0.8655499935150146
fcn,Wine,0.6481481432914734
fcn,WordSynonyms,0.5595611333847046
fcn,Yoga,0.8499333381652832
inceptiontime,ArrowHead,0.8331428571428571
inceptiontime,BeetleFly,0.9
inceptiontime,Car,0.8099999999999999
inceptiontime,FreezerSmallTrain,0.8023859649122806
inceptiontime,Wine,0.7296296296296296
