model,dataset,exp,acc,f1,recall,precision,time
deffcn,Crop,0,0.7527976036071777,0.3825629651546478,0.36210131645202637,0.41679584980010986,4346.715483665466
deffcn,Crop,1,0.7530357241630554,0.38101181387901306,0.3606579601764679,0.4150753617286682,4382.846777915955
deffcn,Crop,2,0.7497023940086365,0.3787866532802582,0.3582497835159302,0.4133271872997284,4354.337304592133
deffcn,Crop,3,0.7547619342803955,0.37790483236312866,0.35727646946907043,0.4122488498687744,4340.448723554611
deffcn,Crop,4,0.7572023868560791,0.3872150778770447,0.36685866117477417,0.4211156964302063,4350.697762012482
deffcn,DiatomSizeReduction,0,0.8954248428344727,0.8932110071182251,0.8976656794548035,0.9303141832351685,30.313189029693604
deffcn,DiatomSizeReduction,1,0.9379084706306458,0.9011054039001465,0.9054933190345764,0.9141144752502441,34.93859601020813
deffcn,DiatomSizeReduction,2,0.9575163125991821,0.91579669713974,0.917833685874939,0.9303714632987976,29.490140438079834
deffcn,DiatomSizeReduction,3,0.9379084706306458,0.9012770056724548,0.9054933190345764,0.9136788249015808,34.72423076629639
deffcn,DiatomSizeReduction,4,0.9379084706306458,0.9093017578125,0.9120292663574219,0.9257702827453613,29.898890018463135
deffcn,DistalPhalanxOutlineCorrect,0,0.7681159377098083,0.747501015663147,0.7539247274398804,0.7635730504989624,411.3595144748688
deffcn,DistalPhalanxOutlineCorrect,1,0.7681159377098083,0.7292133569717407,0.7482771277427673,0.7658039331436157,413.1677761077881
deffcn,DistalPhalanxOutlineCorrect,2,0.804347813129425,0.7844261527061462,0.7947909832000732,0.8036780953407288,411.72420835494995
deffcn,DistalPhalanxOutlineCorrect,3,0.7572463750839233,0.7292717099189758,0.7385574579238892,0.7543544769287109,418.1437017917633
deffcn,DistalPhalanxOutlineCorrect,4,0.7355072498321533,0.7061194777488708,0.7249744534492493,0.7435862421989441,415.63880133628845
deffcn,DistalPhalanxOutlineAgeGroup,0,0.7553957104682922,0.6739549040794373,0.6857315301895142,0.7132827639579773,263.0984642505646
deffcn,DistalPhalanxOutlineAgeGroup,1,0.7266187071800232,0.6627530455589294,0.6781795620918274,0.7048678994178772,264.12702465057373
deffcn,DistalPhalanxOutlineAgeGroup,2,0.7482014298439026,0.6693816184997559,0.7049328684806824,0.6977960467338562,262.7446105480194
deffcn,DistalPhalanxOutlineAgeGroup,3,0.7338129281997681,0.6721875667572021,0.6836027503013611,0.7138400673866272,263.26280212402344
deffcn,DistalPhalanxOutlineAgeGroup,4,0.7625899314880371,0.7284029126167297,0.7531657814979553,0.75180584192276,262.04360699653625
deffcn,DistalPhalanxTW,0,0.6978417038917542,0.4933132529258728,0.5059922933578491,0.5055261850357056,263.6080288887024
deffcn,DistalPhalanxTW,1,0.7194244861602783,0.5186374187469482,0.5325230956077576,0.5497617125511169,263.2677755355835
