model,dataset,exp,acc,f1,recall,precision,time
fcn,ACSF1,0,0.8899999856948853,0.641602635383606,0.623533308506012,0.6669333577156067,76.28093910217285
fcn,ACSF1,1,0.8700000047683716,0.6316306591033936,0.6088666915893555,0.6613333225250244,74.34732913970947
fcn,ACSF1,2,0.8999999761581421,0.6431678533554077,0.6253999471664429,0.6674073934555054,75.50615978240967
fcn,ACSF1,3,0.8999999761581421,0.7057453989982605,0.6934000253677368,0.7263407111167908,75.44830393791199
fcn,ACSF1,4,0.8899999856948853,0.6279802918434143,0.6113999485969543,0.6522666811943054,73.67074942588806
fcn,Adiac,0,0.8209718465805054,0.7412411570549011,0.7521375417709351,0.7426436543464661,142.29437065124512
fcn,Adiac,1,0.8567774891853333,0.7761531472206116,0.7844477295875549,0.7786920666694641,139.67348766326904
fcn,Adiac,2,0.8388746976852417,0.7565838098526001,0.7612776160240173,0.7626867890357971,143.7016568183899
fcn,Adiac,3,0.861892580986023,0.7842752933502197,0.7899792194366455,0.7919235229492188,143.6096534729004
fcn,Adiac,4,0.8491048812866211,0.7674118280410767,0.7727216482162476,0.7724505662918091,141.97815227508545
fcn,ArrowHead,0,0.845714271068573,0.506901741027832,0.4834747612476349,0.5375872850418091,19.787964820861816
fcn,ArrowHead,1,0.8571428656578064,0.4938744306564331,0.46950647234916687,0.5253968238830566,19.685543298721313
fcn,ArrowHead,2,0.8514285683631897,0.5113989114761353,0.48950648307800293,0.5406349301338196,19.38767719268799
fcn,ArrowHead,3,0.8628571629524231,0.5044223070144653,0.4846406877040863,0.5326530933380127,19.71606945991516
fcn,ArrowHead,4,0.8342857360839844,0.5076299905776978,0.4847445785999298,0.5406349301338196,19.38107180595398
fcn,Beef,0,0.8333333134651184,0.7718725800514221,0.729629635810852,0.8444443941116333,16.738985776901245
fcn,Beef,1,0.8333333134651184,0.7359129786491394,0.7259259819984436,0.7925926446914673,15.910732507705688
fcn,Beef,2,0.800000011920929,0.6222378015518188,0.6027777194976807,0.6944444179534912,15.98814344406128
fcn,Beef,3,0.800000011920929,0.736316978931427,0.6962962746620178,0.8444443941116333,15.587030410766602
fcn,Beef,4,0.8333333134651184,0.7359129786491394,0.7259259819984436,0.7925926446914673,16.16404891014099
fcn,BeetleFly,0,0.8500000238418579,0.7693506479263306,0.7416666746139526,0.8333333730697632,16.149067163467407
fcn,BeetleFly,1,0.8999999761581421,0.8836363554000854,0.8666666150093079,0.9333333969116211,15.683687925338745
fcn,BeetleFly,2,0.8500000238418579,0.8337661623954773,0.8266666531562805,0.8472726941108704,15.397557497024536
fcn,BeetleFly,3,0.8999999761581421,0.8836363554000854,0.8666666150093079,0.9333333969116211,15.549813985824585
fcn,BeetleFly,4,0.8500000238418579,0.7693506479263306,0.7416666746139526,0.8333333730697632,15.494767904281616
fcn,BirdChicken,0,0.8999999761581421,0.8984127044677734,0.9199999570846558,0.8999999761581421,15.691716194152832
fcn,BirdChicken,1,0.8999999761581421,0.8984127044677734,0.9199999570846558,0.8999999761581421,15.829341173171997
fcn,BirdChicken,2,0.949999988079071,0.9481781125068665,0.9600000381469727,0.9428571462631226,15.792526245117188
fcn,BirdChicken,3,0.8999999761581421,0.8984127044677734,0.9199999570846558,0.8999999761581421,15.527861595153809
fcn,BirdChicken,4,0.8999999761581421,0.8984127044677734,0.9199999570846558,0.8999999761581421,15.710066080093384
fcn,BME,0,0.846666693687439,0.5884345769882202,0.5518518686294556,0.6422222256660461,14.61986494064331
fcn,BME,1,0.8333333134651184,0.5174946784973145,0.4807407557964325,0.5711110830307007,13.66135835647583
fcn,BME,2,0.8399999737739563,0.5863638520240784,0.5485185384750366,0.6422222256660461,14.063787460327148
fcn,BME,3,0.8733333349227905,0.5972977876663208,0.5651851892471313,0.6422222256660461,14.277095317840576
fcn,BME,4,0.846666693687439,0.5733960270881653,0.5396296381950378,0.6244444251060486,13.904092073440552
fcn,Car,0,0.9166666865348816,0.8897923827171326,0.894444465637207,0.9297618865966797,29.64844560623169
fcn,Car,1,0.9333333373069763,0.9364021420478821,0.9311111569404602,0.9642857313156128,29.99222493171692
fcn,Car,2,0.9333333373069763,0.9171428680419922,0.9277778267860413,0.9392856955528259,28.93800687789917
fcn,Car,3,0.8999999761581421,0.8779894709587097,0.8811111450195312,0.9226190447807312,29.415220975875854
fcn,Car,4,0.949999988079071,0.948888897895813,0.9611111283302307,0.9559524059295654,30.028371334075928
fcn,CBF,0,0.9933333396911621,0.9925860166549683,0.9932275414466858,0.9935237169265747,14.489769697189331
fcn,CBF,1,0.9911110997200012,0.9910244345664978,0.992134153842926,0.9916401505470276,14.028751850128174
fcn,CBF,2,0.9911110997200012,0.990191638469696,0.9908571243286133,0.991548478603363,13.763921976089478
fcn,CBF,3,0.9833333492279053,0.9822816252708435,0.9840188026428223,0.9840258359909058,14.33342170715332
fcn,CBF,4,0.9933333396911621,0.9925860166549683,0.9935238361358643,0.993227481842041,13.700784683227539
fcn,Chinatown,0,0.9766764044761658,0.8204789757728577,0.8148688077926636,0.8265306353569031,14.67740511894226
fcn,Chinatown,1,0.9825072884559631,0.8555440306663513,0.851311981678009,0.8600583076477051,14.107452392578125
fcn,Chinatown,2,0.9795918464660645,0.8445550203323364,0.8396501541137695,0.8498542308807373,14.756851196289062
fcn,Chinatown,3,0.9795918464660645,0.8445550203323364,0.8396501541137695,0.8498542308807373,14.402321100234985
fcn,Chinatown,4,0.9766764044761658,0.8204789757728577,0.8148688077926636,0.8265306353569031,14.283151149749756
fcn,ChlorineConcentration,0,0.8192708492279053,0.7703007459640503,0.7837386727333069,0.796174943447113,173.70149612426758
fcn,ChlorineConcentration,1,0.8247395753860474,0.7704075574874878,0.7862511277198792,0.7955630421638489,169.98629474639893
fcn,ChlorineConcentration,2,0.823437511920929,0.7726064920425415,0.7833927273750305,0.7980506420135498,170.66493940353394
fcn,ChlorineConcentration,3,0.8192708492279053,0.7680922150611877,0.7826777696609497,0.7905610203742981,171.6942286491394
fcn,ChlorineConcentration,4,0.8218749761581421,0.7717697024345398,0.7867187261581421,0.7979028820991516,172.95223450660706
fcn,CinCECGTorso,0,0.8282608985900879,0.8060048818588257,0.8280400037765503,0.83298259973526,34.64376902580261
fcn,CinCECGTorso,1,0.8268116116523743,0.8033889532089233,0.8245410919189453,0.8238856196403503,36.19799208641052
fcn,CinCECGTorso,2,0.8289855122566223,0.8085276484489441,0.8271497488021851,0.839232861995697,35.914984703063965
fcn,CinCECGTorso,3,0.8318840861320496,0.810586154460907,0.8286680579185486,0.8381069302558899,34.81577920913696
fcn,CinCECGTorso,4,0.8442028760910034,0.8233225345611572,0.8435196876525879,0.851715087890625,34.34526467323303
fcn,Coffee,0,1.0,1.0,1.0,1.0,15.753962516784668
fcn,Coffee,1,1.0,1.0,1.0,1.0,15.537738561630249
fcn,Coffee,2,1.0,1.0,1.0,1.0,15.803842544555664
fcn,Coffee,3,1.0,1.0,1.0,1.0,14.847431421279907
fcn,Coffee,4,1.0,1.0,1.0,1.0,14.496344089508057
fcn,Computers,0,0.8360000252723694,0.6124202013015747,0.5802051424980164,0.659428596496582,128.10597014427185
fcn,Computers,1,0.8320000171661377,0.6616685390472412,0.6335384249687195,0.7055999636650085,129.07328844070435
fcn,Computers,2,0.8360000252723694,0.6316132545471191,0.603538453578949,0.6735999584197998,127.03250765800476
fcn,Computers,3,0.828000009059906,0.5778126120567322,0.5442051291465759,0.6274285912513733,126.74743270874023
fcn,Computers,4,0.8320000171661377,0.6616685390472412,0.6340000033378601,0.7059999704360962,129.83055233955383
fcn,CricketX,0,0.7871794700622559,0.7058387398719788,0.7228408455848694,0.717519223690033,148.94860076904297
fcn,CricketX,1,0.800000011920929,0.7130505442619324,0.7304036617279053,0.7253859043121338,147.42628145217896
fcn,CricketX,2,0.807692289352417,0.7243571877479553,0.7427941560745239,0.735442042350769,146.5562505722046
fcn,CricketX,3,0.7871794700622559,0.7032015919685364,0.7233691811561584,0.7154127359390259,150.28584957122803
fcn,CricketX,4,0.807692289352417,0.728654146194458,0.743203341960907,0.7423599362373352,150.08035445213318
fcn,CricketY,0,0.7923076748847961,0.7069461941719055,0.7295562028884888,0.7201053500175476,148.25015306472778
fcn,CricketY,1,0.7897436022758484,0.6980195045471191,0.7237140536308289,0.7133591771125793,146.46762037277222
fcn,CricketY,2,0.7769230604171753,0.6978875398635864,0.7185893654823303,0.7141247987747192,147.6360468864441
fcn,CricketY,3,0.7692307829856873,0.6826716661453247,0.7087265253067017,0.6909565329551697,144.65358710289001
