model,dataset,exp,acc,f1,recall,precision,time
fcn,ArrowHead,0,0.845714271068573,0.5076830387115479,0.487411230802536,0.536281168460846,99.95278000831604
fcn,ArrowHead,1,0.8285714387893677,0.5185646414756775,0.4914112687110901,0.5558730363845825,97.89486908912659
fcn,ArrowHead,2,0.8571428656578064,0.5702151656150818,0.5512207746505737,0.5972335338592529,97.25984621047974
fcn,ArrowHead,3,0.8342857360839844,0.5071555376052856,0.4838787913322449,0.5406349301338196,96.74386405944824
fcn,ArrowHead,4,0.868571400642395,0.5405774712562561,0.5207445621490479,0.5667573809623718,98.22590279579163
fcn,BeetleFly,0,0.8999999761581421,0.8836363554000854,0.8666666150093079,0.9333333969116211,39.13399147987366
fcn,BeetleFly,1,0.8999999761581421,0.8836363554000854,0.8666666150093079,0.9333333969116211,37.61300826072693
fcn,BeetleFly,2,0.800000011920929,0.7194805145263672,0.7016667127609253,0.7472727298736572,37.368611335754395
fcn,BeetleFly,3,0.8500000238418579,0.8337661623954773,0.8266666531562805,0.8472726941108704,37.537041902542114
fcn,BeetleFly,4,0.8500000238418579,0.8337661623954773,0.8266666531562805,0.8472726941108704,38.13341450691223
fcn,Car,0,0.9333333373069763,0.936353325843811,0.9477778077125549,0.9464285373687744,79.34254670143127
fcn,Car,1,0.9166666865348816,0.9046561121940613,0.897777795791626,0.9476190805435181,80.25792717933655
fcn,Car,2,0.8999999761581421,0.8779894709587097,0.8811111450195312,0.9226190447807312,80.51429915428162
fcn,Car,3,0.8999999761581421,0.8779894709587097,0.8811111450195312,0.9226190447807312,81.97637748718262
fcn,Car,4,0.9166666865348816,0.9097355008125305,0.9144445061683655,0.9392856955528259,81.39238476753235
