model,dataset,exp,acc,f1,recall,precision,time
hinception,ACSF1,0,0.8199999928474426,0.8151730298995972,0.8316571116447449,0.8337619304656982,185.62138843536377
hinception,Adiac,0,0.6035805344581604,0.5189420580863953,0.541570782661438,0.5555219054222107,130.19070982933044
hinception,ArrowHead,0,0.6285714507102966,0.5975021123886108,0.6018685698509216,0.6033957600593567,20.07652258872986
hinception,Beef,0,0.699999988079071,0.6836441159248352,0.699999988079071,0.7161904573440552,43.30214834213257
hinception,BeetleFly,0,0.8500000238418579,0.8465473055839539,0.8500000238418579,0.8846153020858765,21.305272340774536
hinception,BirdChicken,0,0.800000011920929,0.7916666865348816,0.800000011920929,0.8571428060531616,22.6620831489563
hinception,BME,0,0.9333333373069763,0.931136965751648,0.9382155537605286,0.9354497194290161,16.14012050628662
hinception,Car,0,0.2666666805744171,0.12903225421905518,0.21052631735801697,0.09302325546741486,48.82629132270813
hinception,CBF,0,0.9844444394111633,0.9837492108345032,0.9852970838546753,0.9833729267120361,20.714001655578613
hinception,Chinatown,0,0.9795918464660645,0.9738976955413818,0.9864721894264221,0.9645372629165649,33.59574508666992
hinception,ChlorineConcentration,0,0.7067708373069763,0.6722672581672668,0.6797555088996887,0.6793649792671204,147.66751766204834
hinception,CinCECGTorso,0,0.6326087117195129,0.6081700325012207,0.6338374614715576,0.6891811490058899,81.66532826423645
hinception,Coffee,0,0.9285714030265808,0.928205132484436,0.928205132484436,0.928205132484436,19.346168279647827
hinception,Computers,0,0.6959999799728394,0.6939983367919922,0.6964089274406433,0.6986886858940125,228.6244330406189
hinception,CricketX,0,0.7384615540504456,0.7064995169639587,0.7363454103469849,0.7304320335388184,194.4623966217041
hinception,CricketY,0,0.7307692170143127,0.7234163880348206,0.7431412935256958,0.7445268630981445,189.77477025985718
hinception,CricketZ,0,0.7102563977241516,0.6948643326759338,0.7032325267791748,0.720952570438385,199.03950572013855
hinception,Crop,0,0.727321445941925,0.6790826916694641,0.7053208351135254,0.7007098197937012,1445.5650436878204
hinception,DiatomSizeReduction,0,0.3006536066532135,0.11568998545408249,0.25,0.07594704627990723,18.30877113342285
hinception,DistalPhalanxOutlineCorrect,0,0.7572463750839233,0.7436568737030029,0.7413241267204285,0.7512714266777039,144.47838282585144
hinception,DistalPhalanxOutlineAgeGroup,0,0.6906474828720093,0.6940357685089111,0.7218653559684753,0.6943607330322266,97.64436674118042
hinception,DistalPhalanxTW,0,0.6474820375442505,0.4666200876235962,0.48773083090782166,0.46767881512641907,95.21515035629272
hinception,Earthquakes,0,0.7482014298439026,0.42775946855545044,0.5,0.3741007149219513,222.39022397994995
hinception,ECG200,0,0.8899999856948853,0.8782342672348022,0.874458909034729,0.8932408690452576,44.95539045333862
hinception,ECG5000,0,0.9391111135482788,0.6536274552345276,0.6540586352348328,0.6870356798171997,124.27138185501099
hinception,ECGFiveDays,0,0.996515691280365,0.9964993596076965,0.9967813491821289,0.9963955283164978,14.353537559509277
hinception,ElectricDevices,0,0.6800674200057983,0.5898732542991638,0.595860481262207,0.6474055051803589,1906.0824913978577
hinception,EOGHorizontalSignal,0,0.6160221099853516,0.5929417610168457,0.6043431162834167,0.6307372450828552,549.9285476207733
hinception,EOGVerticalSignal,0,0.5,0.45689359307289124,0.5007014274597168,0.4689196050167084,549.741021156311
hinception,EthanolLevel,0,0.7039999961853027,0.6981337666511536,0.706102728843689,0.7042672038078308,1017.1381397247314
hinception,FaceAll,0,0.7491124272346497,0.7704771757125854,0.8395279049873352,0.8037801384925842,144.01690673828125
hinception,FaceFour,0,0.8181818127632141,0.818585991859436,0.844882607460022,0.8448329567909241,20.316558599472046
hinception,FacesUCR,0,0.8839024305343628,0.8427380323410034,0.856657862663269,0.8610926270484924,80.69198608398438
hinception,FiftyWords,0,0.6769230961799622,0.456037312746048,0.4847906529903412,0.46364036202430725,215.4080948829651
hinception,Fish,0,0.8571428656578064,0.8447659611701965,0.8461480736732483,0.8599940538406372,134.09286856651306
hinception,FordA,0,0.9484848380088806,0.94739830493927,0.94743412733078,0.9481135606765747,2437.3963544368744
hinception,FordB,0,0.8234567642211914,0.8210428953170776,0.8215839862823486,0.8222327828407288,2455.297436237335
hinception,FreezerRegularTrain,0,0.746666669845581,0.7266363501548767,0.7467457056045532,0.8313083648681641,75.5633339881897
hinception,FreezerSmallTrain,0,0.6768420934677124,0.6685581207275391,0.6770885586738586,0.6857085824012756,20.276823043823242
hinception,GunPoint,0,0.8533333539962769,0.8511707782745361,0.8563315868377686,0.8748936057090759,19.768667697906494
hinception,GunPointAgeSpan,0,0.892405092716217,0.891573965549469,0.8935497403144836,0.896773636341095,49.19195580482483
hinception,GunPointMaleVersusFemale,0,0.8544303774833679,0.8526874780654907,0.8650884628295898,0.8824196457862854,47.72979760169983
hinception,GunPointOldVersusYoung,0,0.9682539701461792,0.9679093360900879,0.967416524887085,0.9689961671829224,47.998234033584595
hinception,Ham,0,0.7428571581840515,0.7389558553695679,0.741899311542511,0.7412782311439514,87.69319891929626
hinception,HandOutlines,0,0.9189189076423645,0.9088292121887207,0.9033014178276062,0.9177650213241577,2847.4068989753723
hinception,Haptics,0,0.3246753215789795,0.2844751477241516,0.345130980014801,0.30588436126708984,213.0157527923584
hinception,Herring,0,0.703125,0.667305052280426,0.6649797558784485,0.7040050029754639,48.50060510635376
hinception,HouseTwenty,0,0.8991596698760986,0.8982923626899719,0.908842921257019,0.8998217582702637,121.0833113193512
hinception,InlineSkate,0,0.29818183183670044,0.2875974178314209,0.2888334393501282,0.37744173407554626,234.72241115570068
hinception,InsectEPGRegularTrain,0,0.8313252925872803,0.7887822985649109,0.8460190892219543,0.8385917544364929,53.318190813064575
hinception,InsectEPGSmallTrain,0,0.6425702571868896,0.4941674768924713,0.6666666865348816,0.44024816155433655,26.400388956069946
hinception,InsectWingbeatSound,0,0.592424213886261,0.5692735910415649,0.5934785604476929,0.5994492173194885,108.76479387283325
hinception,ItalyPowerDemand,0,0.9620991349220276,0.9612284898757935,0.9625915288925171,0.9613400101661682,27.964308500289917
hinception,LargeKitchenAppliances,0,0.8453333377838135,0.8442570567131042,0.8466229438781738,0.8483369946479797,345.8021001815796
hinception,Lightning2,0,0.7213114500045776,0.7164342403411865,0.7153679728507996,0.7211111187934875,54.629246950149536
hinception,Lightning7,0,0.8082191944122314,0.8164169788360596,0.8131767511367798,0.8594392538070679,63.75442910194397
hinception,Mallat,0,0.6537313461303711,0.574660062789917,0.6553074717521667,0.5981488227844238,74.05389189720154
hinception,Meat,0,0.6666666865348816,0.5986177325248718,0.6666666865348816,0.8333333134651184,41.075973987579346
hinception,MedicalImages,0,0.7302631735801697,0.6192934513092041,0.6376720070838928,0.6605744361877441,99.10120582580566
hinception,MiddlePhalanxOutlineCorrect,0,0.7903780341148376,0.7850925326347351,0.7884670495986938,0.7848151922225952,142.02654480934143
hinception,MiddlePhalanxOutlineAgeGroup,0,0.5194805264472961,0.39304056763648987,0.4053064286708832,0.40942278504371643,97.83053803443909
hinception,MiddlePhalanxTW,0,0.4610389471054077,0.3445639908313751,0.36511340737342834,0.35069531202316284,102.49451088905334
hinception,MixedShapesRegularTrain,0,0.9232989549636841,0.919481098651886,0.9220811128616333,0.9243143200874329,633.6969513893127
hinception,MixedShapesSmallTrain,0,0.8226804137229919,0.8172082901000977,0.8313542604446411,0.8199462294578552,150.77184534072876
