model,dataset,exp,acc,f1,recall,precision,time
lite,Coffee,0,1.0,1.0,1.0,1.0,4.360341787338257
lite,Coffee,1,0.7142857313156128,0.686904788017273,0.7142857313156128,0.8190476298332214,4.117830753326416
lite,Coffee,2,0.8571428656578064,0.8492197394371033,0.860714316368103,0.8809523582458496,4.0791096687316895
lite,Coffee,3,0.5,0.3272727429866791,0.5,0.25,4.078161954879761
lite,Coffee,4,1.0,1.0,1.0,1.0,4.072784900665283
lite,Coffee,5,0.5,0.3318077623844147,0.5,0.25,4.128182649612427
lite,Coffee,6,0.9285714030265808,0.9260504841804504,0.9253968000411987,0.9375,4.111583232879639
lite,Coffee,7,0.5,0.3333333432674408,0.5,0.25,4.08331298828125
lite,Coffee,8,0.5,0.33176469802856445,0.5,0.25,4.1365838050842285
lite,Coffee,9,0.5,0.33176469802856445,0.5,0.25,4.1883015632629395
