model,dataset,exp,acc,f1,recall,precision,time
resnet,Wafer,0,0.9993510842323303,0.997707188129425,0.9983121156692505,0.9974351525306702,527.1657254695892
resnet,Wafer,1,0.9982154369354248,0.9948489665985107,0.9954319000244141,0.9954660534858704,517.8893110752106
resnet,Wafer,2,0.9988643527030945,0.9963755011558533,0.9957903027534485,0.997851550579071,532.2574954032898
resnet,Wafer,3,0.9978910088539124,0.992743730545044,0.9919688105583191,0.9943442940711975,533.7966985702515
resnet,Wafer,4,0.9969176054000854,0.9894538521766663,0.9893093705177307,0.991494357585907,510.64648056030273
resnet,Wine,0,0.5555555820465088,0.5138888955116272,0.5185185074806213,0.5185185074806213,98.97830200195312
resnet,Wine,1,0.8333333134651184,0.715241014957428,0.7037037014961243,0.75,100.70614337921143
resnet,Wine,2,0.5,0.48941799998283386,0.5092592835426331,0.48148149251937866,100.87622213363647
resnet,Wine,3,0.5925925970077515,0.5447531342506409,0.5370370149612427,0.6111111044883728,98.18442940711975
resnet,Wine,4,0.5,0.48941799998283386,0.5092592835426331,0.48148149251937866,99.36779856681824
resnet,WordSynonyms,0,0.6144200563430786,0.43175753951072693,0.4608006477355957,0.4341360926628113,131.83678770065308
resnet,WordSynonyms,1,0.6159874796867371,0.44615474343299866,0.47035542130470276,0.4527941942214966,134.20343041419983
resnet,WordSynonyms,2,0.6316614151000977,0.4544066786766052,0.4844520092010498,0.4579830765724182,133.47267413139343
resnet,WordSynonyms,3,0.6285266280174255,0.4534040689468384,0.4820559620857239,0.45606347918510437,135.89499807357788
resnet,WordSynonyms,4,0.6269592642784119,0.4541439414024353,0.47835537791252136,0.4595654010772705,134.90461897850037
resnet,Worms,0,0.7532467246055603,0.4246046245098114,0.42554736137390137,0.4885281026363373,158.76890063285828
resnet,Worms,1,0.7792207598686218,0.4109637141227722,0.40373581647872925,0.46735209226608276,158.88935136795044
resnet,Worms,2,0.7922077775001526,0.4298967719078064,0.428627610206604,0.4734126627445221,158.2892963886261
resnet,Worms,3,0.7662337422370911,0.44335034489631653,0.43779972195625305,0.4983585774898529,157.8890678882599
resnet,Worms,4,0.7662337422370911,0.42319974303245544,0.42676281929016113,0.4736008644104004,157.7011911869049
resnet,WormsTwoClass,0,0.7922077775001526,0.46935415267944336,0.4978354871273041,0.5173159837722778,164.3599398136139
resnet,WormsTwoClass,1,0.8051947951316833,0.4676816761493683,0.5038961172103882,0.5148422718048096,163.82596158981323
resnet,WormsTwoClass,2,0.7792207598686218,0.47060468792915344,0.49177491664886475,0.5207791924476624,165.46965193748474
resnet,WormsTwoClass,3,0.7922077775001526,0.493083655834198,0.49913421273231506,0.5346320271492004,165.65349078178406
resnet,WormsTwoClass,4,0.7272727489471436,0.43071767687797546,0.4636363685131073,0.5103896260261536,164.22371578216553
resnet,Yoga,0,0.8429999947547913,0.834625244140625,0.8433772921562195,0.8449926972389221,171.70540308952332
resnet,Yoga,1,0.8643333315849304,0.8556534647941589,0.861810564994812,0.8657140135765076,173.19200205802917
resnet,Yoga,2,0.8613333106040955,0.853640615940094,0.8621911406517029,0.8628106117248535,175.76657128334045
resnet,Yoga,3,0.862666666507721,0.855054497718811,0.862068772315979,0.8649618029594421,177.3372609615326
resnet,Yoga,4,0.8433333039283752,0.8332933783531189,0.8407046794891357,0.8458278775215149,178.0554699897766
